Badge,Action,Time
847817,Exit,2024-03-15T14:23:42+00:00
208527,Enter,2024-03-15T00:29:56+00:00
208527,Exit,2024-03-15T05:11:56+00:00
195186,Enter,2024-03-15T07:00:39+00:00
195186,Exit,2024-03-15T07:49:39+00:00
409557,Enter,2024-03-15T06:35:54+00:00
409557,Exit,2024-03-15T11:08:54+00:00
041098,Enter,2024-03-15T07:27:26+00:00
041098,Exit,2024-03-15T08:51:26+00:00
215171,Enter,2024-03-15T15:41:47+00:00
215171,Exit,2024-03-15T16:23:47+00:00
300472,Enter,2024-03-15T18:07:04+00:00
300472,Exit,2024-03-15T19:49:04+00:00
058294,Enter,2024-03-15T11:36:07+00:00
058294,Exit,2024-03-15T12:23:07+00:00
460361,Enter,2024-03-15T18:12:18+00:00
460361,Exit,2024-03-15T18:58:18+00:00
771044,Enter,2024-03-15T09:07:40+00:00
771044,Exit,2024-03-15T12:57:40+00:00
301291,Enter,2024-03-15T02:28:15+00:00
301291,Exit,2024-03-15T05:19:15+00:00
813828,Enter,2024-03-15T07:13:23+00:00
813828,Exit,2024-03-15T11:52:23+00:00
655479,Enter,2024-03-15T22:01:46+00:00
655479,Exit,2024-03-15T22:58:46+00:00
444101,Enter,2024-03-15T03:41:43+00:00
444101,Exit,2024-03-15T07:46:43+00:00
040046,Enter,2024-03-15T15:02:25+00:00
040046,Exit,2024-03-15T19:19:25+00:00
858549,Enter,2024-03-15T03:35:36+00:00
858549,Exit,2024-03-15T06:21:36+00:00
307910,Enter,2024-03-15T04:59:53+00:00
307910,Exit,2024-03-15T09:13:53+00:00
724549,Enter,2024-03-15T15:45:44+00:00
724549,Exit,2024-03-15T17:43:44+00:00
246034,Enter,2024-03-15T18:49:02+00:00
246034,Exit,2024-03-15T19:57:02+00:00
052966,Enter,2024-03-15T02:11:31+00:00
052966,Exit,2024-03-15T04:14:31+00:00
194849,Enter,2024-03-15T00:41:49+00:00
194849,Exit,2024-03-15T05:21:49+00:00
836206,Enter,2024-03-15T11:25:05+00:00
836206,Exit,2024-03-15T12:49:05+00:00
997960,Enter,2024-03-15T08:22:37+00:00
997960,Exit,2024-03-15T09:24:37+00:00
769593,Enter,2024-03-15T15:03:26+00:00
769593,Exit,2024-03-15T16:21:26+00:00
090769,Enter,2024-03-15T20:12:41+00:00
090769,Exit,2024-03-15T23:03:41+00:00
565264,Enter,2024-03-15T03:33:49+00:00
565264,Exit,2024-03-15T07:24:49+00:00
675731,Enter,2024-03-15T07:44:30+00:00
675731,Exit,2024-03-15T08:58:30+00:00
069413,Enter,2024-03-15T00:55:37+00:00
069413,Exit,2024-03-15T03:58:37+00:00
669709,Enter,2024-03-15T10:05:34+00:00
669709,Exit,2024-03-15T14:54:34+00:00
533180,Enter,2024-03-15T03:54:50+00:00
533180,Exit,2024-03-15T06:40:50+00:00
876971,Enter,2024-03-15T23:31:39+00:00
876971,Exit,2024-03-16T02:49:39+00:00
073705,Enter,2024-03-15T13:53:07+00:00
073705,Exit,2024-03-15T14:48:07+00:00
776196,Enter,2024-03-15T05:38:40+00:00
776196,Exit,2024-03-15T07:45:40+00:00
482944,Enter,2024-03-15T08:20:19+00:00
482944,Exit,2024-03-15T11:48:19+00:00
322785,Enter,2024-03-15T04:51:59+00:00
322785,Exit,2024-03-15T09:04:59+00:00
925948,Enter,2024-03-15T17:40:57+00:00
925948,Exit,2024-03-15T22:08:57+00:00
701800,Enter,2024-03-15T09:12:04+00:00
701800,Exit,2024-03-15T10:01:04+00:00
847930,Enter,2024-03-15T22:12:04+00:00
847930,Exit,2024-03-15T23:35:04+00:00
462051,Enter,2024-03-15T21:09:58+00:00
462051,Exit,2024-03-15T23:21:58+00:00
825405,Enter,2024-03-15T02:06:42+00:00
825405,Exit,2024-03-15T04:21:42+00:00
787664,Enter,2024-03-15T08:54:29+00:00
787664,Exit,2024-03-15T12:42:29+00:00
230719,Enter,2024-03-15T19:45:35+00:00
230719,Exit,2024-03-15T21:26:35+00:00
769706,Enter,2024-03-15T15:27:16+00:00
769706,Exit,2024-03-15T20:09:16+00:00
694711,Enter,2024-03-15T00:45:42+00:00
694711,Exit,2024-03-15T05:43:42+00:00
086568,Enter,2024-03-15T14:23:33+00:00
086568,Exit,2024-03-15T18:28:33+00:00
006755,Enter,2024-03-15T19:16:30+00:00
006755,Exit,2024-03-16T00:14:30+00:00
510212,Enter,2024-03-15T18:35:01+00:00
510212,Exit,2024-03-15T22:42:01+00:00
355259,Enter,2024-03-15T23:46:08+00:00
355259,Exit,2024-03-16T02:54:08+00:00
226168,Enter,2024-03-15T02:25:05+00:00
226168,Exit,2024-03-15T06:30:05+00:00
484182,Enter,2024-03-15T08:23:20+00:00
484182,Exit,2024-03-15T09:42:20+00:00
244974,Enter,2024-03-15T06:30:56+00:00
244974,Exit,2024-03-15T08:36:56+00:00
666215,Enter,2024-03-15T23:40:17+00:00
666215,Exit,2024-03-16T00:22:17+00:00
113800,Enter,2024-03-15T09:54:56+00:00
113800,Exit,2024-03-15T12:35:56+00:00
792719,Enter,2024-03-15T00:45:55+00:00
792719,Exit,2024-03-15T01:38:55+00:00
860099,Enter,2024-03-15T22:01:30+00:00
860099,Exit,2024-03-16T02:16:30+00:00
527826,Enter,2024-03-15T21:57:32+00:00
527826,Exit,2024-03-16T00:54:32+00:00
960352,Enter,2024-03-15T13:44:58+00:00
960352,Exit,2024-03-15T15:52:58+00:00
077173,Enter,2024-03-15T02:19:22+00:00
077173,Exit,2024-03-15T05:10:22+00:00
100544,Enter,2024-03-15T23:06:54+00:00
100544,Exit,2024-03-16T02:28:54+00:00
102786,Enter,2024-03-15T13:43:37+00:00
102786,Exit,2024-03-15T14:53:37+00:00
653557,Enter,2024-03-15T17:56:47+00:00
653557,Exit,2024-03-15T21:01:47+00:00
737388,Enter,2024-03-15T16:13:46+00:00
737388,Exit,2024-03-15T18:29:46+00:00
771507,Enter,2024-03-15T06:43:03+00:00
771507,Exit,2024-03-15T07:44:03+00:00
137956,Enter,2024-03-15T22:16:14+00:00
137956,Exit,2024-03-16T03:15:14+00:00
530274,Enter,2024-03-15T21:49:53+00:00
530274,Exit,2024-03-15T22:24:53+00:00
081802,Enter,2024-03-15T19:44:40+00:00
081802,Exit,2024-03-15T21:18:40+00:00
634568,Enter,2024-03-15T07:53:49+00:00
634568,Exit,2024-03-15T12:13:49+00:00
751890,Enter,2024-03-15T11:06:21+00:00
751890,Exit,2024-03-15T13:34:21+00:00
677422,Enter,2024-03-15T03:43:35+00:00
677422,Exit,2024-03-15T07:34:35+00:00
808941,Enter,2024-03-15T20:16:38+00:00
808941,Exit,2024-03-15T22:16:38+00:00
684529,Enter,2024-03-15T14:41:57+00:00
684529,Exit,2024-03-15T18:58:57+00:00
361957,Enter,2024-03-15T11:35:36+00:00
361957,Exit,2024-03-15T13:36:36+00:00
920829,Enter,2024-03-15T16:57:31+00:00
920829,Exit,2024-03-15T18:18:31+00:00
477292,Enter,2024-03-15T18:12:59+00:00
477292,Exit,2024-03-15T21:16:59+00:00
387934,Enter,2024-03-15T16:15:46+00:00
387934,Exit,2024-03-15T17:56:46+00:00
559172,Enter,2024-03-15T17:56:22+00:00
559172,Exit,2024-03-15T20:40:22+00:00
547480,Enter,2024-03-15T16:58:41+00:00
547480,Exit,2024-03-15T19:41:41+00:00
068072,Enter,2024-03-15T00:28:54+00:00
068072,Exit,2024-03-15T05:10:54+00:00
994555,Enter,2024-03-15T03:05:28+00:00
994555,Exit,2024-03-15T07:11:28+00:00
838719,Enter,2024-03-15T03:30:34+00:00
838719,Exit,2024-03-15T05:57:34+00:00
971412,Enter,2024-03-15T15:10:27+00:00
971412,Exit,2024-03-15T15:53:27+00:00
925333,Enter,2024-03-15T19:02:18+00:00
925333,Exit,2024-03-15T22:18:18+00:00
261815,Enter,2024-03-15T21:39:13+00:00
261815,Exit,2024-03-16T00:19:13+00:00
144121,Enter,2024-03-15T09:13:21+00:00
144121,Exit,2024-03-15T14:07:21+00:00
563532,Enter,2024-03-15T01:19:19+00:00
563532,Exit,2024-03-15T02:51:19+00:00
514707,Enter,2024-03-15T13:04:04+00:00
514707,Exit,2024-03-15T15:27:04+00:00
404798,Enter,2024-03-15T14:55:24+00:00
404798,Exit,2024-03-15T15:33:24+00:00
916674,Enter,2024-03-15T06:13:39+00:00
916674,Exit,2024-03-15T09:04:39+00:00
295090,Enter,2024-03-15T21:02:05+00:00
295090,Exit,2024-03-15T22:29:05+00:00
247594,Enter,2024-03-15T00:01:36+00:00
247594,Exit,2024-03-15T01:10:36+00:00
995113,Enter,2024-03-15T02:41:29+00:00
995113,Exit,2024-03-15T07:08:29+00:00
898707,Enter,2024-03-15T00:59:32+00:00
898707,Exit,2024-03-15T01:41:32+00:00
488917,Enter,2024-03-15T18:45:59+00:00
488917,Exit,2024-03-15T22:22:59+00:00
492873,Enter,2024-03-15T09:11:20+00:00
492873,Exit,2024-03-15T11:52:20+00:00
032888,Enter,2024-03-15T05:20:05+00:00
032888,Exit,2024-03-15T10:05:05+00:00
344809,Enter,2024-03-15T13:53:55+00:00
344809,Exit,2024-03-15T17:57:55+00:00
183880,Enter,2024-03-15T04:01:45+00:00
183880,Exit,2024-03-15T05:37:45+00:00
132882,Enter,2024-03-15T23:42:14+00:00
132882,Exit,2024-03-16T00:12:14+00:00
197712,Enter,2024-03-15T11:55:40+00:00
197712,Exit,2024-03-15T14:20:40+00:00
860012,Enter,2024-03-15T08:07:43+00:00
860012,Exit,2024-03-15T08:55:43+00:00
551113,Enter,2024-03-15T02:07:20+00:00
551113,Exit,2024-03-15T06:33:20+00:00
686848,Enter,2024-03-15T05:57:49+00:00
686848,Exit,2024-03-15T10:22:49+00:00
565745,Enter,2024-03-15T19:02:22+00:00
565745,Exit,2024-03-15T21:21:22+00:00
317103,Enter,2024-03-15T02:22:56+00:00
317103,Exit,2024-03-15T04:49:56+00:00
446735,Enter,2024-03-15T20:54:03+00:00
446735,Exit,2024-03-16T00:46:03+00:00
379159,Enter,2024-03-15T05:09:14+00:00
379159,Exit,2024-03-15T09:02:14+00:00
759240,Enter,2024-03-15T05:51:01+00:00
759240,Exit,2024-03-15T08:17:01+00:00
157829,Enter,2024-03-15T03:28:35+00:00
157829,Exit,2024-03-15T07:30:35+00:00
346674,Enter,2024-03-15T04:50:35+00:00
346674,Exit,2024-03-15T06:03:35+00:00
630530,Enter,2024-03-15T19:37:49+00:00
630530,Exit,2024-03-15T21:07:49+00:00
998881,Enter,2024-03-15T02:34:01+00:00
998881,Exit,2024-03-15T03:16:01+00:00
379941,Enter,2024-03-15T15:12:00+00:00
379941,Exit,2024-03-15T18:59:00+00:00
644139,Enter,2024-03-15T10:43:20+00:00
644139,Exit,2024-03-15T13:43:20+00:00
689116,Enter,2024-03-15T20:02:42+00:00
689116,Exit,2024-03-16T00:38:42+00:00
877601,Enter,2024-03-15T21:54:45+00:00
877601,Exit,2024-03-16T01:12:45+00:00
541246,Enter,2024-03-15T17:10:26+00:00
541246,Exit,2024-03-15T21:15:26+00:00
547445,Enter,2024-03-15T06:07:30+00:00
547445,Exit,2024-03-15T10:49:30+00:00
613705,Enter,2024-03-15T19:47:20+00:00
613705,Exit,2024-03-15T20:36:20+00:00
289605,Enter,2024-03-15T07:41:09+00:00
289605,Exit,2024-03-15T12:35:09+00:00
549876,Enter,2024-03-15T05:06:50+00:00
549876,Exit,2024-03-15T06:09:50+00:00
578933,Enter,2024-03-15T03:57:53+00:00
578933,Exit,2024-03-15T06:42:53+00:00
136955,Enter,2024-03-15T14:04:24+00:00
136955,Exit,2024-03-15T15:37:24+00:00
212903,Enter,2024-03-15T18:21:03+00:00
212903,Exit,2024-03-15T21:04:03+00:00
324590,Enter,2024-03-15T18:12:29+00:00
324590,Exit,2024-03-15T18:46:29+00:00
013987,Enter,2024-03-15T14:48:26+00:00
013987,Exit,2024-03-15T17:00:26+00:00
662613,Enter,2024-03-15T21:02:12+00:00
662613,Exit,2024-03-15T22:22:12+00:00
153004,Enter,2024-03-15T05:42:41+00:00
153004,Exit,2024-03-15T09:49:41+00:00
967184,Enter,2024-03-15T23:46:04+00:00
967184,Exit,2024-03-16T02:14:04+00:00
899455,Enter,2024-03-15T04:43:44+00:00
899455,Exit,2024-03-15T08:20:44+00:00
171004,Enter,2024-03-15T08:00:33+00:00
171004,Exit,2024-03-15T08:57:33+00:00
109440,Enter,2024-03-15T19:20:02+00:00
109440,Exit,2024-03-15T23:43:02+00:00
671718,Enter,2024-03-15T09:37:03+00:00
671718,Exit,2024-03-15T12:06:03+00:00
320476,Enter,2024-03-15T05:20:14+00:00
320476,Exit,2024-03-15T07:59:14+00:00
415375,Enter,2024-03-15T07:26:18+00:00
415375,Exit,2024-03-15T08:50:18+00:00
958912,Enter,2024-03-15T19:59:08+00:00
958912,Exit,2024-03-15T22:14:08+00:00
743977,Enter,2024-03-15T10:50:39+00:00
743977,Exit,2024-03-15T13:50:39+00:00
119376,Enter,2024-03-15T01:37:30+00:00
119376,Exit,2024-03-15T04:50:30+00:00
956776,Enter,2024-03-15T09:02:53+00:00
956776,Exit,2024-03-15T10:36:53+00:00
206751,Enter,2024-03-15T16:18:26+00:00
206751,Exit,2024-03-15T21:12:26+00:00
745413,Enter,2024-03-15T05:07:13+00:00
745413,Exit,2024-03-15T09:14:13+00:00
093221,Enter,2024-03-15T06:08:58+00:00
093221,Exit,2024-03-15T09:24:58+00:00
120174,Enter,2024-03-15T11:55:58+00:00
120174,Exit,2024-03-15T16:40:58+00:00
253836,Enter,2024-03-15T19:11:09+00:00
253836,Exit,2024-03-15T22:35:09+00:00
671025,Enter,2024-03-15T12:00:24+00:00
671025,Exit,2024-03-15T12:52:24+00:00
865021,Enter,2024-03-15T08:22:30+00:00
865021,Exit,2024-03-15T11:12:30+00:00
240011,Enter,2024-03-15T21:32:11+00:00
240011,Exit,2024-03-16T01:25:11+00:00
789861,Enter,2024-03-15T03:47:01+00:00
789861,Exit,2024-03-15T05:45:01+00:00
977841,Enter,2024-03-15T18:23:21+00:00
977841,Exit,2024-03-15T21:09:21+00:00
278482,Enter,2024-03-15T06:17:09+00:00
278482,Exit,2024-03-15T08:50:09+00:00
058192,Enter,2024-03-15T09:51:43+00:00
058192,Exit,2024-03-15T14:32:43+00:00
037047,Enter,2024-03-15T07:30:19+00:00
037047,Exit,2024-03-15T10:31:19+00:00
406338,Enter,2024-03-15T07:21:56+00:00
406338,Exit,2024-03-15T10:05:56+00:00
419648,Enter,2024-03-15T22:00:44+00:00
419648,Exit,2024-03-16T01:14:44+00:00
715721,Enter,2024-03-15T18:59:10+00:00
715721,Exit,2024-03-15T20:54:10+00:00
648532,Enter,2024-03-15T02:55:24+00:00
648532,Exit,2024-03-15T07:09:24+00:00
496519,Enter,2024-03-15T08:16:59+00:00
496519,Exit,2024-03-15T09:58:59+00:00
397115,Enter,2024-03-15T11:01:56+00:00
397115,Exit,2024-03-15T15:07:56+00:00
935536,Enter,2024-03-15T15:35:43+00:00
935536,Exit,2024-03-15T18:41:43+00:00
412714,Enter,2024-03-15T11:21:31+00:00
412714,Exit,2024-03-15T14:21:31+00:00
344781,Enter,2024-03-15T09:01:17+00:00
344781,Exit,2024-03-15T13:44:17+00:00
364149,Enter,2024-03-15T02:31:19+00:00
364149,Exit,2024-03-15T07:13:19+00:00
909487,Enter,2024-03-15T03:55:00+00:00
909487,Exit,2024-03-15T08:05:00+00:00
250595,Enter,2024-03-15T13:52:34+00:00
250595,Exit,2024-03-15T15:25:34+00:00
552849,Enter,2024-03-15T11:38:13+00:00
552849,Exit,2024-03-15T15:22:13+00:00
154199,Enter,2024-03-15T10:41:39+00:00
154199,Exit,2024-03-15T12:31:39+00:00
616989,Enter,2024-03-15T01:21:10+00:00
616989,Exit,2024-03-15T06:01:10+00:00
295125,Enter,2024-03-15T20:29:38+00:00
295125,Exit,2024-03-15T22:23:38+00:00
177378,Enter,2024-03-15T03:09:45+00:00
177378,Exit,2024-03-15T04:23:45+00:00
075257,Enter,2024-03-15T07:19:27+00:00
075257,Exit,2024-03-15T10:10:27+00:00
211282,Enter,2024-03-15T23:07:31+00:00
211282,Exit,2024-03-16T01:43:31+00:00
008569,Enter,2024-03-15T17:47:18+00:00
008569,Exit,2024-03-15T21:14:18+00:00
545185,Enter,2024-03-15T03:19:48+00:00
545185,Exit,2024-03-15T05:39:48+00:00
988030,Enter,2024-03-15T04:57:28+00:00
988030,Exit,2024-03-15T08:51:28+00:00
643551,Enter,2024-03-15T15:56:08+00:00
643551,Exit,2024-03-15T19:41:08+00:00
328365,Enter,2024-03-15T08:56:16+00:00
328365,Exit,2024-03-15T11:55:16+00:00
572312,Enter,2024-03-15T03:53:24+00:00
572312,Exit,2024-03-15T05:58:24+00:00
178775,Enter,2024-03-15T23:26:08+00:00
178775,Exit,2024-03-16T02:18:08+00:00
788693,Enter,2024-03-15T14:15:53+00:00
788693,Exit,2024-03-15T15:55:53+00:00
455779,Enter,2024-03-15T01:08:11+00:00
455779,Exit,2024-03-15T04:22:11+00:00
165854,Enter,2024-03-15T09:22:55+00:00
165854,Exit,2024-03-15T10:18:55+00:00
430258,Enter,2024-03-15T19:14:57+00:00
430258,Exit,2024-03-15T21:24:57+00:00
060673,Enter,2024-03-15T02:35:30+00:00
060673,Exit,2024-03-15T06:23:30+00:00
063999,Enter,2024-03-15T01:14:06+00:00
063999,Exit,2024-03-15T05:33:06+00:00
021986,Enter,2024-03-15T02:33:36+00:00
021986,Exit,2024-03-15T03:57:36+00:00
961015,Enter,2024-03-15T04:42:02+00:00
961015,Exit,2024-03-15T08:44:02+00:00
508691,Enter,2024-03-15T08:24:36+00:00
508691,Exit,2024-03-15T10:16:36+00:00
902549,Enter,2024-03-15T17:06:57+00:00
902549,Exit,2024-03-15T21:34:57+00:00
730666,Enter,2024-03-15T03:16:06+00:00
730666,Exit,2024-03-15T04:31:06+00:00
513497,Enter,2024-03-15T20:48:56+00:00
513497,Exit,2024-03-15T23:32:56+00:00
447560,Enter,2024-03-15T06:55:12+00:00
447560,Exit,2024-03-15T09:14:12+00:00
121121,Enter,2024-03-15T10:08:31+00:00
121121,Exit,2024-03-15T11:17:31+00:00
040663,Enter,2024-03-15T12:20:08+00:00
040663,Exit,2024-03-15T16:45:08+00:00
856774,Enter,2024-03-15T01:31:13+00:00
856774,Exit,2024-03-15T03:10:13+00:00
857606,Enter,2024-03-15T07:09:30+00:00
857606,Exit,2024-03-15T08:20:30+00:00
320386,Enter,2024-03-15T05:09:08+00:00
320386,Exit,2024-03-15T10:04:08+00:00
560496,Enter,2024-03-15T02:52:45+00:00
560496,Exit,2024-03-15T07:49:45+00:00
791451,Enter,2024-03-15T23:01:19+00:00
791451,Exit,2024-03-16T03:02:19+00:00
475343,Enter,2024-03-15T06:13:36+00:00
475343,Exit,2024-03-15T09:19:36+00:00
954693,Enter,2024-03-15T05:49:11+00:00
954693,Exit,2024-03-15T10:48:11+00:00
870389,Enter,2024-03-15T09:06:09+00:00
870389,Exit,2024-03-15T13:02:09+00:00
455722,Enter,2024-03-15T20:59:39+00:00
455722,Exit,2024-03-16T01:04:39+00:00
383352,Enter,2024-03-15T02:48:27+00:00
383352,Exit,2024-03-15T07:06:27+00:00
756235,Enter,2024-03-15T10:30:22+00:00
756235,Exit,2024-03-15T13:33:22+00:00
889519,Enter,2024-03-15T16:04:33+00:00
889519,Exit,2024-03-15T17:57:33+00:00
410345,Enter,2024-03-15T14:51:52+00:00
410345,Exit,2024-03-15T16:34:52+00:00
796289,Enter,2024-03-15T06:26:25+00:00
796289,Exit,2024-03-15T07:22:25+00:00
